30,200
//outsidewalls
W,0,-10,600,20
W,0,380,600,20
W,-10,0,20,400
W,580,0,20,400
//only level wall
W,250,50,10,310

//basic
O,30,50,0,1,0,10
O,30,290,0,1,0,10
O,230,70,0,1,0,10
O,230,270,0,1,0,10

//pattern
O,90,140,1,0,0,10
O,240,140,1,0,0,10

//lasers going sideways
O,260,50,2,1,35,320
O,260,100,2,1,30,320
O,260,150,2,1,25,320
O,260,200,2,1,20,320
O,260,250,2,1,15,320
O,260,300,2,1,10,320
O,260,350,2,1,5,320

//lasers going down
O,300,10,2,0,30,370
O,350,10,2,0,25,370
O,400,10,2,0,20,370
O,450,10,2,0,15,370
O,500,10,2,0,10,370
O,550,10,2,0,5,370

F,520,170,20,20
