55,55
W,0,80,100,20
W,0,310,380,100
W,140,0,20,270
W,360,40,20,360
W,420,0,20,350
W,470,30,20,360
O,100,100,1,0,0,10
O,100,200,1,0,0,10

O,200,50,0,1,0,150
O,190,80,0,1,0,150
O,180,110,0,1,0,150
O,170,140,0,1,0,150
O,160,170,0,1,0,150
O,170,200,0,1,0,150
O,180,230,0,1,0,150


O,380,80,2,1,5,40
O,440,80,2,1,5,30
O,380,120,2,1,10,40
O,380,160,2,1,15,40
O,380,200,2,1,20,40
O,380,240,2,1,25,40
O,380,280,2,1,30,40
O,380,320,2,1,35,40
O,380,370,2,1,40,90
O,440,320,2,1,45,30
O,440,280,2,1,45,30
O,440,240,2,1,35,30
O,440,200,2,1,25,30
O,440,160,2,1,15,30
O,440,120,2,1,5,30
